source_no,recruitment_name,legacy_racehorse_name,dam,sire,bms,sex,birthday,height_cm,chest_cm,cannon_cm,weight_kg,bdate,legacy_prize,legacy_classprize
497,レインデートの2017,ブレッシングレイン,レインデート,ディープインパクト,Unbridled's Song,牡,2017-02-06,158,177.5,21.3,457,555,3007,400
498,ミュージカルロマンスの2017,フォアシュピール,ミュージカルロマンス,ディープインパクト,Concorde's Tune,牡,2017-05-13,151,167,20.4,388,459,1010,400
499,ヒルダズパッションの2017,サンクテュエール,ヒルダズパッション,ディープインパクト,Canadian Frontier,牝,2017-02-13,151,175,19.6,443,548,7030,2900
500,サミターの2017,アクニディ,サミター,ディープインパクト,ロックオブジブラルタル,牝,2017-02-16,149,172.5,19.7,412,545,0,0
501,アディクティドの2017,サクセッション,アディクティド,キングカメハメハ,ディクタット,牡,2017-03-14,155,174.5,21.3,473,519,12200,2100
502,ポロンナルワの2017,アヌラーダプラ,ポロンナルワ,キングカメハメハ,Rahy,牝,2017-04-17,152.5,171,19.1,412,485,7500,3600
503,ベルレンケッテの2017,ピクチャーポーズ,ベルレンケッテ,ロードカナロア,ディープインパクト,牡,2017-02-13,154,176.5,21.2,471,548,237,0
504,ローガンサファイアの2017,エルサフィーロ,ローガンサファイア,ロードカナロア,ダイワメジャー,牡,2017-04-01,148,168,20.2,409,501,0,0
505,マチカネエンジイロの2017,サクライロ,マチカネエンジイロ,ロードカナロア,サンデーサイレンス,牝,2017-03-04,154,176,20,457,529,440,0
506,エクレールアンジュの2017,カドーダンジュ,エクレールアンジュ,ロードカナロア,ゼンノロブロイ,牝,2017-03-14,150,170,19,428,519,0,0
507,フロアクラフトの2017,ピクチャーポーズ,フロアクラフト,ロードカナロア,フジキセキ,牝,2017-03-19,151,173.5,20,440,514,237,0
508,クルミナルの2017,イルミナル,クルミナル,ロードカナロア,ディープインパクト,牝,2017-03-31,146.5,166.5,19,404,502,846,0
509,リッチダンサーの2017,クロスキー,リッチダンサー,ハーツクライ,Ｈａｌｌｉｎｇ,牡,2017-03-25,154.5,178.5,21.3,481,508,77,0
510,クルソラの2017,ラクンパルシータ,クルソラ,ハーツクライ,Candy Stripes,牡,2017-05-06,155,170.5,20.5,440,466,180,0
511,ウィーミスフランキーの2017,アクロアイト,ウィーミスフランキー,ハーツクライ,Sunriver,牝,2017-03-07,152.5,174,19.3,435,526,600,400
512,シーディドアラバイの2017,ノーエクスキューズ,シーディドアラバイ,エピファネイア,ジャングルポケット,牡,2017-04-05,154,180.5,20.5,463,497,1594,400
513,シーズンズベストの2017,シーズンズギフト,シーズンズベスト,エピファネイア,ゼンノロブロイ,牝,2017-02-22,152.5,176,20.3,460,539,6560,2000
514,フェルミオンの2017,フェルミスフィア,フェルミオン,エピファネイア,アグネスタキオン,牝,2017-05-02,150.5,172.5,19.6,420,470,7190,2400
515,パラダイスコーブの2017,ラルワースコーヴ,パラダイスコーブ,キズナ,キングカメハメハ,牝,2017-02-09,155.5,175,19.5,419,552,200,210
516,カメリアローズの2017,バインドウィード,カメリアローズ,キズナ,ホワイトマズル,牝,2017-04-19,154,170,19.5,439,483,180,0
517,キューの2017,ベルクハイム,キュー,オルフェーヴル,フレンチデピュティ,牡,2017-04-16,155,179,20.4,476,486,110,140
518,フォルテピアノの2017,アコルドエール,フォルテピアノ,オルフェーヴル,フレンチデピュティ,牡,2017-04-17,153.5,171,19.8,437,485,3189,900
519,コケレールの2017,アヴァンセヴェリテ,コケレール,オルフェーヴル,Ｚａｍｉｎｄａｒ,牝,2017-02-12,159,177.5,19.7,452,549,180,0
520,ジャッキーテーストの2017,エクスプレッサー,ジャッキーテースト,スクリーンヒーロー,カーネギー,牡,2017-04-29,152,177.5,20.2,446,473,331,0
521,ドルチェリモーネの2017,アシェットデセール,ドルチェリモーネ,ルーラーシップ,サンデーサイレンス,牡,2017-01-22,152,173,20,451,570,1086,400
522,クロノロジストの2017,クロトノーナ,クロノロジスト,ルーラーシップ,クロフネ,牝,2017-03-22,153,172.5,19,400,511,77,0
523,ラドラーダの2017,アブソルティスモ,ラドラーダ,ダイワメジャー,シンボリクリスエス,牡,2017-01-20,155,181,21.5,504,572,4590,900
524,イグジビットワンの2017,マスターワーク,イグジビットワン,ダイワメジャー,Ｓｉｌｖｅｒ Hawk,牝,2017-04-01,155,174.5,20.4,450,501,2351,900
525,マルティンスタークの2017,リグージェ,マルティンスターク,ブラックタイド,シンボリクリスエス,牡,2017-02-24,157,178,21,467,537,1030,400
526,スルーレートの2017,タイダルフォース,スルーレート,ブラックタイド,フレンチデピュティ,牡,2017-02-25,151.5,176,20.6,441,536,0,0
527,ヒカルアモーレの2017,フルジェンテ,ヒカルアモーレ,ジャスタウェイ,クロフネ,牡,2017-05-11,157,178,20.3,479,461,0,0
528,ユールフェストの2017,ユールファーナ,ユールフェスト,ジャスタウェイ,More Than Ready,牝,2017-04-14,152.5,174,19.6,410,488,1220,400
529,ディアデラノビアの2017,グレイトオーサー,ディアデラノビア,ノヴェリスト,サンデーサイレンス,牡,2017-03-07,154,178.5,20.6,446,526,4490,1500
