source_no,recruitment_name,legacy_racehorse_name,mapped_racehorse_name,mapping_status,horse_id,price_man_yen,performance_status,qc_notes
497,レインデートの2017,ブレッシングレイン,,no_candidate,,,,netkeiba mapping candidate not found
498,ミュージカルロマンスの2017,フォアシュピール,,no_candidate,,,,netkeiba mapping candidate not found
499,ヒルダズパッションの2017,サンクテュエール,,no_candidate,,,,netkeiba mapping candidate not found
500,サミターの2017,アクニディ,,no_candidate,,,,netkeiba mapping candidate not found
501,アディクティドの2017,サクセッション,,no_candidate,,,,netkeiba mapping candidate not found
502,ポロンナルワの2017,アヌラーダプラ,,no_candidate,,,,netkeiba mapping candidate not found
503,ベルレンケッテの2017,ピクチャーポーズ,,no_candidate,,,,netkeiba mapping candidate not found
504,ローガンサファイアの2017,エルサフィーロ,,no_candidate,,,,netkeiba mapping candidate not found
505,マチカネエンジイロの2017,サクライロ,,no_candidate,,,,netkeiba mapping candidate not found
506,エクレールアンジュの2017,カドーダンジュ,,no_candidate,,,,netkeiba mapping candidate not found
